,Owner,Team,League,Recipient,Amount,Election Year,Party
229,Charles Johnson,San Francisco Giants,MLB,MCSALLY FOR SENATE INC,5600,2020,Republican
230,Charles Johnson,San Francisco Giants,MLB,MIKE GARCIA FOR CONGRESS,5600,2020,Republican
231,Charles Johnson,San Francisco Giants,MLB,NICOLE FOR NEW YORK,5600,2020,Republican
232,Charles Johnson,San Francisco Giants,MLB,OLSON FOR CONGRESS COMMITTEE,5600,2020,Republican
233,Charles Johnson,San Francisco Giants,MLB,PATRIOTS FOR PERRY,5600,2020,Republican
234,Charles Johnson,San Francisco Giants,MLB,PORTMAN FOR SENATE COMMITTEE,5600,2020,Republican
235,Charles Johnson,San Francisco Giants,MLB,ROSS SPANO FOR CONGRESS,5600,2020,Republican
236,Charles Johnson,San Francisco Giants,MLB,SALAZAR FOR CONGRESS,5600,2020,Republican
237,Charles Johnson,San Francisco Giants,MLB,"SANDY SMITH FOR CONGRESS, INC.",5600,2020,Republican
238,Charles Johnson,San Francisco Giants,MLB,SEAN JACKSON FOR CONGRESS COMMITTEE,5600,2020,Republican
239,Charles Johnson,San Francisco Giants,MLB,SLOCUM FOR CONGRESS,5600,2020,Republican
240,Charles Johnson,San Francisco Giants,MLB,STEVE CHABOT FOR CONGRESS,5600,2020,Republican
241,Charles Johnson,San Francisco Giants,MLB,STEVE DAINES FOR MONTANA,5600,2020,Republican
242,Charles Johnson,San Francisco Giants,MLB,"TEAM GRAHAM, INC.",5600,2020,Republican
243,Charles Johnson,San Francisco Giants,MLB,TEAM HAGERTY,5600,2020,Republican
244,Charles Johnson,San Francisco Giants,MLB,TED BUDD FOR CONGRESS,5600,2020,Republican
245,Charles Johnson,San Francisco Giants,MLB,THOMAS MASSIE FOR CONGRESS,5600,2020,Republican
246,Charles Johnson,San Francisco Giants,MLB,TIM SCOTT FOR SENATE,5600,2020,Republican
247,Charles Johnson,San Francisco Giants,MLB,UPTON FOR ALL OF US,5600,2020,Republican
248,Charles Johnson,San Francisco Giants,MLB,VAN TAYLOR CAMPAIGN,5600,2020,Republican
