Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Jimmy and Susan Haslam,Cleveland Browns,NFL,MCCONNELL FOR MAJORITY LEADER COMMITTEE,5600,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,PORTMAN FOR SENATE COMMITTEE,5600,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,BOUSTANY FOR SENATE INC,5400,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,"FRIENDS OF TODD YOUNG, INC.",5400,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,"JEB 2016, INC.",5400,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,RO FOR CONGRESS INC.,5400,2016,Democrat,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF DAVE JOYCE,5400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF JOHN BARRASSO,5400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,JOSH HAWLEY FOR SENATE,5400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,RENACCI FOR US SENATE,5400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,RICK SCOTT FOR FLORIDA,5400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ROMNEY FOR UTAH INC,5400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ARIZONA GRASSROOTS ACTION PAC,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,BOOZMAN FOR ARKANSAS,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,BURR NC VICTORY FUND,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF KELLY AYOTTE INC,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,"GEORGIA REPUBLICAN PARTY, INC.",5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MORAN FOR KANSAS,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NEW HAMPSHIRE REPUBLICAN STATE COMMITTEE,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,RON JOHNSON FOR SENATE INC,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TENN POLITICAL ACTION COMMITTEE INC (TENN PAC),5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,THE HAWKEYE PAC,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TIM SCOTT FOR SENATE,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TOOMEY PENNSYLVANIA VICTORY FUND,5000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,SOCIETY OF INDEPENDENT GASOLINE MARKETERS OF AMERICA PAC,5000,2016,"Bipartisan, but mostly Republican",1
Jimmy and Susan Haslam,Cleveland Browns,NFL,GRIDIRON-PAC,5000,2016,Bipartisan,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,GEORGE HOLDING FOR CONGRESS INC.,5000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,WAKE REC FEDERAL,4800,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FINKENAUER FOR CONGRESS,4200,2020,Democrat,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARK GREEN FOR CONGRESS,4000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NANCY MACE FOR CONGRESS,2800,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,STEVE DARDEN FOR CONGRESS,2800,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,KENDRA HORN FOR CONGRESS,2800,2020,Democrat,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF JOHN MCCAIN INC,2700,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARCO RUBIO FOR SENATE 2016,2700,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,CARLOS CURBELO CONGRESS,2700,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF ERIK PAULSEN,2700,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MIKE BISHOP FOR CONGRESS,2700,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ROSKAM FOR CONGRESS COMMITTEE,2700,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARCIA FUDGE FOR CONGRESS,2700,2018,Democrat,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,RICHARD E NEAL FOR CONGRESS COMMITTEE,2700,2018,Democrat,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF JOE HECK,2500,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF PAT TOOMEY,2500,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,KUSTOFF FOR CONGRESS,2500,2016,Republican,1
